Mods;改造
Notifications;通知
Notification;通知
Mod;モジュール
Build;建てる
Version;バージョン
ii's Stupid Menu;iiのバカメニュー
Stupid;バカ
wherever your hand desires;あなたの手が望むところならどこでも
whoever your hand desires;あなたの手が望む人なら誰でも
whatever your hand desires;あなたの手が望むものは何でも
Platforms;プラットフォーム
Platform;プラットフォーム
Fly;飛ぶ
Trigger;トリガー
Noclip;ノクリップ
Ghost;おばけ
Invisible;見えない
Change;変化
Menu;メニュー
Settings;設定
Join;参加する
Room;部屋
Disable;無効にする
Enable;有効にする
Gun;銃
Joystick;ジョイスティック
Hand;手
Left;左
Right;右
Forward;フォワード
Backward;後方へ
Man;男
Auto;自動
Anti;アンチ
Gravity;重力
Disconnect;切断する
Exit;出口
Sound;音
Grab;掴む
Teleport;テレポート
Get;得る
into;の中へ
Connect;接続する
Name;名前
Color;色
Random;ランダム
Spaz;スパズ
Seuzure;発作
Speed;スピード
Velocity;速度
Boost;ブースト
Range;範囲
Arm;アーム
Long;長さ
Tall;高い
Accept;受け入れる
Snowball;スノーボール
Flip;フリップ
Fling;フリング
Notify;通知する
Desires;欲望
Hunt;ハント
Infection;感染
Short;短い
Tag;タグ
Favorite;お気に入り
Important;重要
Very;とても
Slow;遅い
Fast;速い
Last;最後
Public;公共
Create;作成する
Cancel;キャンセル
Welcome;いらっしゃいませ
Reconnect;再接続
Invites;招待します
Invite;招待する
You;あなた
Safety;安全性
Movement;動き
Advantage;アドバンテージ
Visual;ビジュアル
Fun;楽しい
Spam;スパム
Rapid;急速な
Master;マスター
Overpowered;圧倒された
Admin;管理者
Theme;テーマ
Both;両方
Zero;ゼロ
One;1つ
Two;二
Three;三つ
Four;4
Five;五
Six;六
Seven;セブン
Eight;八
Nine;九
Ten;10
Watch;時計
Language;言語
Rig;リグ
Player;プレーヤー
Freeze;フリーズ
Scale;規模
Voice;声
Open;開ける
Return;戻る
Back;戻る
The;の
For;のために
Projectile;発射物
Control;コントロール
Slide;スライド
Slip;スリップ
Slippery;滑りやすい
Weak;弱い
Strong;強い
Controller;コントローラ
Jump;ジャンプ
Hop;ホップ
Bunny;バニー
Grip;グリップ
Trigger;トリガー
Water;水
Swim;泳ぐ
Position;位置
Rotation;回転
All;全て
Self;自己
Others;その他
Party;パーティー
Ban;禁止
Kick;キック
Crash;クラッシュ
Lag;遅れ
Wall;壁
Walk;歩く
Splash;スプラッシュ
Aura;オーラ
Network;ネットワーク
Vibrate;振動する
Up;上
Down;下
Uncap;キャップを外す
Always;いつも
Toggle;トグル
Success;成功
Reach;到着
Swap;スワップ
Colors;色
Strafe;掃射
Strobe;ストロボ
Tap;タップ
Silent;静けさ
Loud;うるさい
Have;持っている
Been;された
Fake;偽物
Yes;はい
Holdable;ホールド可能
Stick;スティック
Sticky;粘着質
Spin;スピン
Helicopter;ヘリコプター
Rope;ロープ
Look;見て
Head;頭
Glider;グライダー
Gliders;グライダー
Balloon;バルーン
Ball;ボール
Soundboard;響板
Lightning;稲妻
Rain;雨
Weather;天気
Day;日
Night;夜
Morning;朝
Evening;夕方
Time;時間
Report;報告
Thanks;ありがとう
Using;使用する
This;これ
Was;だった
Created;作成されました
WASD;WASD
Are;は
Completely;完全に
Free;無料
Scammed;騙された
Any;どれでも
Responsible;責任者
Responsibility;責任
While;その間
Sourced;調達済み
What;何
Who;誰が
Where;どこ
How;どうやって
Queue;列
Connected;接続済み
Slingshot;スリングショット
Iron Man;アイアンマン
Spider Man;スパイダーマン
Grappling Hooks;グラップリングフック
Drive;ドライブ
Size;サイズ
Run;走る
Pinch;ピンチ
Climb;登る
Low;低い
High;高い
Airstrike;空爆
Air;空気
C4;C4
Punch Mod;パンチモッド
Telekinesis;テレキネシス
Solid;固体
Max;マックス
Maximum;最大
Throw;投げる
Ground;地面
Helper;ヘルパー
Fan;ファン
Bee;蜂
Copy;コピー
Follow;フォローする
Orbit;軌道
Annoy;いらいらさせる
Intercourse;性交
Animation;アニメーション
Animations;アニメーション
Custom;カスタム
Outline;概要
Wrist;手首
Shiny;光沢のある
Thick;厚い
Type;タイプ
Style;スタイル
Background;背景
Small;小さい
Pointer;ポインタ
Line;ライン
Direction;方向
Button;ボタン
Buttons;ボタン
Serversided;サーバーサイド
Vibration;振動
Search;検索
And;そして
I,;私、
Not;ない
It's;その
Its;その
If;もし
To;に
At;で
Of;の
By;による
Am;午前
On;の上
I;私
